"1-indexed start position of item code in the full barcode. Example: for item code 3310100 in 3310100010009, start is 1.",
"1-indexed start position of weight segment. Example: in 3310100010009, weight starts at position 8.",
"<span class=\""h4\"">X POS</span>",
Accept Qty,مقدار قبول کریں
Account,اکاؤنٹ
Account Head,اکاؤنٹ سربراہ
Accounts Manager,اکاؤنٹس مینیجر
Accounts User,اکاؤنٹس یوزر
Add Filter,فلٹر لگائں
Add New Supplier,نیا سپلائر بنائں
Add a new supplier to the system,سسٹم میں نیاسپلائر داخل کریں
Add items to pay,ادائیگی کے لیے آئٹمز شامل کریں
Add to Cart,ٹوکری میں شامل کریں
Add/Edit Coupon Conditions,کوپن کی شرائط شامل/ترمیم کریں
Additional Discount,اضافی رعایت
Administrator,ایڈمنسٹریٹر
Against Name,نام کے خلاف
All,تمام
All Groups,تمام گروپس
All orders have been received,تمام آرڈرز موصول ہو چکے ہیں
Allocated {0} across {1} payment(s).,{0} کو {1} ادائیگیوں میں مختص کیا گیا
Allocation amount for payment {0} exceeds outstanding invoices,ادائیگی کے لیے مختص رقم {0} بقایا رسیدوں سے زیادہ ہے
Amended From,سے ترمیم شدہ
Amount,رقم
Amount Due,بقایا رقم
Amount exceeds POS Profile cash movement max amount.,رقم POS پروفائل نقدی موومنٹ کی زیادہ سے زیادہ رقم سے زیادہ ہ
Amount must be greater than zero,رقم صفر سے زیادہ ہونی چاہیے
Amount must be greater than zero.,رقم صفر سے زیادہ ہونی چاہیے
Applied,لاگو
Apply,لاگوکریں
Apply For,کے لیے لاگو
Apply For POS Profiles,POS پروفائلز کے لیے درخواست دیں۔
Apply On,پر لاگو
Apply Rule On Brand,برانڈ پر اصول لاگو کریں
Apply Rule On Item Code,آئٹم کوڈ پر اصول لاگو کریں
Apply Rule On Item Group,آئٹم گروپ پر اصول لاگو کریں
Apply Type,لاگو کی قسم
Are you sure you want to delete this draft?,کیا آپ واقعی اس مسودے کو ختم کرنا چاہتے ہیں؟
At least one item is required,کم از کم ایک آئٹم درکار ہے
Auto Apply,خودکار لاگو
Auto-receive,خودکار وصول
Available Programs,دستیاب پروگرام
Back Office Cash Account is fixed by POS Profile and cannot be overridden.,بیک آفس نقدی اکاؤنٹ POS پروفائل کے ذریعے طے کیا جاتا ہے اور اسے تبدیل نہیں کیا جا سکتا
Back Office Cash Account is required for cash deposit.,نقدی ڈپازٹ کے لیے بیک آفس نقدی اکاؤنٹ درکار ہے
Back Office Cash Account must be a Cash account.,بیک آفس نقدی اکاؤنٹ ایک نقدی اکاؤنٹ ہونا چاہیے
Back to Sign In,واپس سائن ان کریں
Barcode,بارکوڈ
Barcode Printer,بارکوڈ پرنٹر
Barcode Structure,بارکوڈ کا ڈھانچہ
Barcode Type,بارکوڈ کی قسم
Barcode lookup failed,بارکوڈ تلاش کرنا ناکام ہوگیا
Barcode {0} already exists.,بارکوڈ {0} پہلے ہی موجود ہے
Barcodes,بارکوڈز
Brand,برانڈ
Campaign,مہم
Cancel,منسوخ کریں
Cancelled,منسوخ
Cancelling submitted cash movements is disabled for this POS Profile.,اس POS پروفائل کے لیے جمع کرائی گئی نقدی موومنٹ کو منسوخ کرنا غیر فعال ہے
Cannot add item to cart,آئٹم کو ٹوکری میں شامل نہیں کیا جا سکتا
Cart,ٹوکری
Cart is empty,ٹوکری خالی ہے
Cash Deposit,نقدی جمع کرانا
Cash Deposit is disabled for this POS Profile.,اس POS پروفائل کے لیے نقدی جمع کرانا غیر فعال ہے
Cash Movement,نقدی کی نقل و حرکت
Cash Movement is disabled for this POS Profile.,اس POS پروفائل کے لیے نقدی کی نقل و حرکت غیر فعال ہے
Cash deposit recorded,نقدی ڈپازٹ ریکارڈ کر دیا گیا
Cash flow tracking,
Cash movement is already cancelled,نقدی کی نقل و حرکت پہلے ہی منسوخ ہے
Cash movement {0} not found,نقدی کی نقل و حرکت {0} نہیں ملی
Cashier,کیشئیر
Change,بھان
Change Given,بھان دی
Check your email for reset instructions,دوبارہ ترتیب دینے کی ہدایات کے لیے اپنا ای میل چیک کریں
Clear All,تمام صاف کریں
Clear cart,ٹوکری صاف کریں
Click on items to add them here,آئٹمز کو یہاں شامل کرنے کے لیے ان پر کلک کریں
Click to change customer,گاہک کو تبدیل کرنے کے لیے کلک کریں
Click to select customer,گاہک کو منتخب کرنے کے لیے کلک کریں
Client Request ID,کلائنٹ کی درخواست کی شناخت
Close,بند
Close Shift,شفٹ بند کریں
Closed,بند
Closing,بند کرنا
Closing Amount,بند ہونے والی رقم
Closing...,بند ہو رہا ہے...
Company,کمپنی
Company is required,کمپنی کی ضرورت ہے
Company is required.,کمپنی کی ضرورت ہے
Company must match the selected POS Opening Shift company.,کمپنی کو منتخب کردہ POS اوپننگ شفٹ کمپنی سے مماثل ہونا چاہیے
Company must match the selected POS Profile company.,کمپنی کو منتخب کردہ POS پروفائل کمپنی سے مماثل ہونا چاہیے
Contact administrator to set up loyalty programs,لائلٹی پروگرام کو ترتیب دینے کے لیے ایڈمنسٹریٹر سے رابطہ کریں
Context is required,سیاق و سباق درکار ہے
Cost Center,لاگت کا مرکز
Cost Center is not set in pos profile {0},پوز پروفائل میں لاگت کا مرکز سیٹ نہیں ہے {0}
Coupon,کوپن
Coupon Based,کوپن پر مبنی
Coupon Code,کوپن کوڈ
Coupon Code Based,کوپن کوڈ پر مبنی
Coupon Description,کوپن کی تفصیل
Coupon Name,کوپن کا نام
Coupon Type,کوپن کی قسم
Coupon has expired,کوپن کی میعاد ختم ہو گئی ہے
Coupon is not valid for this customer,کوپن اس گاہک کے لیے درست نہیں ہے
Coupon is not yet valid,کوپن ابھی تک درست نہیں ہے
Create New Supplier,نیا سپلائر بنائیں
Create Supplier,سپلائر بنائیں
Create items,آئٹمز بنائیں
Create suppliers,فراہم کنندہ بنائں
Created By,بنانے والا
Creating...,بن رہا۔۔۔
Credit Note,کریڈٹ نوٹ
Credit Note {0} has no remaining balance to allocate.,کریڈٹ نوٹ {0} کے پاس مختص کرنے کے لیے کوئی بقایا بیلنس نہیں ہے۔
Credit note {0} is already fully allocated,کریڈٹ نوٹ {0} پہلے ہی مکمل طور پر مختص ہے۔
Credit note {0} still has an unapplied balance of {1},کریڈٹ نوٹ {0} کے پاس اب بھی {1} کا غیر لاگو بیلنس ہے
Currency,کرنسی
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}",کرنسی درست نہیں ہے، پارٹی اکاؤنٹ کی کرنسی {party_account_currency} ہے اور لین دین کی کرنسی {currency} ہے
Currency is required,کرنسی درکار ہے
Customer,گاہک
Customer Group,کسٹمر گروپ
Customer Name,گاہک کا نام
Customer already exists,گاہک پہلے ہی موجود ہے
Customer is already enrolled in {0},گاہک پہلے ہی {0} میں اندراج شدہ ہے
Customer is already enrolled in {0}. Please unenroll from the current program first.,گاہک پہلے ہی {0} میں اندراج شدہ ہے۔ براہ کرم پہلے موجودہ پروگرام سے اندراج ختم کریں۔
Customer is not enrolled in any loyalty program,گاہک کسی بھی لائلٹی پروگرام میں اندراج نہیں کیا گیا ہے۔
Customer is required,گاہک کی ضرورت ہے
Customer is required to create an address,پتہ بنانے کے لیے گاہک کی ضرورت ہے
Customer locked for return,گاہک کو واپسی کے لیے بند کر دیا گیا
Customer mismatch: Return must be for the same customer ({0}) as the original invoice,گاہک کا مماثل نہیں: واپسی اسی گاہک ({0}) کے لیے ہونی چاہیے جس کی اصل رسید ہے
Customer name is required,گاہک کا نام درکار ہے
Customer {0} not found,گاہک {0} نہیں ملا
"Customer, Company, Amount, and Mode of Payment are required",گاہک، کمپنی، رقم، اور ادائیگی کا طریقہ درکار ہے
Date,تاریخ
Date & Time,تاریخ اور وقت
Default Loyalty Program,طے شدہ لائلٹی پروگرام
Default Rate,طے شدہ شرح
Default Rate is required,طے شدہ شرح درکار ہے
Delete draft,مسودہ حذف کریں
Deleting cancelled cash movements is disabled for this POS Profile.,منسوخ شدہ کیش موومنٹ کو حذف کرنا اس POS پروفائل کے لیے غیر فعال ہے
Delivery Charges,ڈیلیوری چارجز
Delivery Charges POS Profile,ڈیلیوری چارجز POS پروفائل
Deposit,جمع
Deposit To,جمع کروائیں
Description,تفصیل
Details,تفصیلات
Difference,فرق
Digits after decimal. Example: 1.000 => decimals 3.,اعشاریہ کے بعد ہندسے۔ مثال: 1.000 => اعشاریہ 3۔
"Digits before decimal. Example: for 1.000, use 1 (or 2 if your scale encodes 01.000).",اعشاریہ سے پہلے ہندسے۔ مثال: 1.000 کے لیے، 1 استعمال کریں (یا 2 اگر آپ کا پیمانہ 01.000 کو انکوڈ کرتا ہے)۔
Disable,غیر فعال کریں
Disabled,غیر فعال
Discount,رعایت
Discount %,رعایت ٪
Discount Amount,رعایت کی رقم
Discount Percentage,رعایت فیصد
Discount Type,رعایت کی قسم
Discount amount,رعایت کی رقم
Draft,مسودہ
Draft invoice deleted,انوائس کا مسودہ حذف کر دیا گیا
Draft invoice restored to cart,ڈرافٹ انوائس کو کارٹ میں بحال کر دیا گیا
Email,ای میل
Email Address,ای میل ایڈریس
Email ID,ای میل شناخت
Email Sent Successfully,ای میل کامیابی کے ساتھ بھیجی گئی
Email address,ای میل ایڈریس
Email or Username,ای میل یا صارف نام
Enable only if barcode also contains price segment.,صرف اس صورت میں فعال کریں جب بارکوڈ میں قیمت کا حصہ بھی ہو
"Enable when your barcode starts with a fixed prefix value (for example, 331).",جب آپ کا بار کوڈ ایک مقررہ سابقہ ​​قدر (مثال کے طور پر، 331) کے ساتھ شروع ہوتا ہے تو اسے فعال کریں
Enroll Customer,کسٹمر کا اندراج کریں
Enrolled,اندراج
Enrolling...,اندراج ہو رہا ہے...
Enter coupon code...,کوپن کوڈ درج کریں...
Enter reason for this transaction...,اس لین دین کی وجہ درج کریں...
Enter supplier name,سپلائر کا نام لکھیں
Enter the email address associated with your account,اپنے اکاؤنٹ سے وابستہ ای میل ایڈریس درج کریں
Enter your email address,اپنا ای میل ایڈریس درج کریں
Enter your email or username,اپنا ای میل یا صارف کا نام درج کریں
Enter your email to receive a password reset link,پاس ورڈ دوبارہ ترتیب دینے کا لنک حاصل کرنے کے لیے اپنا ای میل درج کریں
Enter your password,اپنا پاس ورڈ درج کریں
Expected,متوقع
Expected Amount,متوقع رقم
Expense,خرچہ
Expense Account,خرچہ کھاتہ
Expense Account is required for expense entries.,اخراجات کے اندراجات کے لیے اخراجات کا اکاؤنٹ درکار ہے
Expense account is required,اخراجات کا اکاؤنٹ درکار ہے
Expense account is required for POS Expense.,POS اخراجات کے لیے اخراجات کا اکاؤنٹ درکار ہے
Expense target account must match Expense Account.,اخراجات کے ہدف کا اکاؤنٹ اخراجات اکاؤنٹ سے مماثل ہونا چاہیے
Expires,میعاد ختم
Failed to create payment request: {0},ادائیگی کی درخواست بنانے میں ناکام: {0}
Failed to delete draft invoice,ڈرافٹ انوائس کو حذف کرنے میں ناکام
Failed to fetch draft invoices,ڈرافٹ رسیدیں حاصل کرنے میں ناکام
Failed to load draft invoice,ڈرافٹ انوائس لوڈ کرنے میں ناکام
Failed to reconcile Credit Note {0}: {1},کریڈٹ نوٹ {0} کو ملانے میں ناکام: {1}
Failed to reconcile Journal Entry {0}: {1},جرنل انٹری کو ملانے میں ناکام {0}: {1}
Failed to reconcile Payment Entry {0}: {1},ادائیگی کے اندراج کو ملانے میں ناکام {0}: {1}
Failed to record cash movement,کیش موومنٹ ریکارڈ کرنے میں ناکام
Failed to save draft: {0},مسودہ محفوظ کرنے میں ناکام: {0}
Failed to validate coupon,کوپن کی توثیق کرنے میں ناکام
Final Customer Offer,حتمی گاہک آفر
"Fixed starting value of all scale barcodes (for example, 331). If set, barcodes not starting with this value are ignored.",تمام پیمانے کے بارکوڈز کی مقررہ ابتدائی قیمت (مثال کے طور پر، 331)۔ اگر سیٹ ہو، تو اس قدر سے شروع نہ ہونے والے بارکوڈز کو نظر انداز کر دیا جاتا ہے
Forgot password?,پاس ورڈ بھول گئے؟
Generate and print barcode labels for items,آئٹمز کے لیے بارکوڈ لیبل بنائیں اور پرنٹ کریں
Generating...,بن رہا ہے...
Gift Card,گفٹ کارڈ
Give Item,آئٹم دیں
Give Item Row ID,آئٹم قطار کی شناخت دیں
Give Product,پروڈکٹ دیں
Given Quantity,دی گئی مقدار
Grand Total,عظیم کل
In Transit,ٹرانزٹ میں
In-Transit,ٹرانزٹ میں
In-Transit Stock,ٹرانزٹ میں سٹاک
Include QR Code,QR کوڈ شامل کریں۔
Individual,انفرادی
Invalid Opening Entry,غلط افتتاحی اندراج
Invalid POS Opening Shift data provided.,غلط POS اوپننگ شفٹ ڈیٹا فراہم کیا گیا
Invalid Period,غلط دورانیہ
Invalid language code,غلط زبان کا کوڈ
Invalid language code format: {0},غلط زبان کوڈ فارمیٹ: {0}
Invalid movement type for journal entry.,جرنل کے اندراج کے لیے نقل و حرکت کی غلط قسم
